بنگلا دیش	 Location
سے	 Other
ایک	 Other
روزہ	 Other
سیریز	 Other
میں	 Other
شکست	 Other
کے	 Other
بعد	 Other
بھارتی	 Other
کپتان	 Desigation
مہندرا سنگھ دھونی	 Person
میڈیا	 Other
اور	 Other
سینئر	 Other
کھلاڑیوں	 Other
کی	 Other
جانب	 Other
سے	 Other
شدید	 Other
تنقید	 Other
کا	 Other
نشانہ	 Other
بنے	 Other
ہوئے	 Other
ہیں	 Other
ایسے	 Other
میں	 Other
پاکستانی	 Other
اسٹار	 Other
کرکٹر	 Other
اورٹی	 Other
ٹونٹی	 Other
کے	 Other
کپتان	 Desigation
شاہد آفریدی	 Person
نے	 Other
دھونی	 Person
کا	 Other
دفاع	 Other
کرنے	 Other
میدان	 Other
میں	 Other
نکل	 Other
آئے	 Other
ہیں	 Other
اور	 Other
ان	 Other
پر	 Other
کی	 Other
جانے	 Other
والی	 Other
تنقید	 Other
کو	 Other
بے	 Other
جا	 Other
قرار	 Other
دیا	 Other
ہے۔	 Other
 
بھارتی	 Other
نجی	 Other
ٹی	 Other
وی	 Other
کو	 Other
انٹرویو	 Other
دیتے	 Other
ہوئے	 Other
شاہد آفریدی	 Person
کا	 Other
کہنا	 Other
تھا	 Other
کہ	 Other
جنوبی ایشیا	 Location
کے	 Other
لوگوں	 Other
کا	 Other
عجیب	 Other
انداز	 Other
ہے	 Other
کہ	 Other
ایک	 Other
سیریز	 Other
میں	 Other
شکست	 Other
کے	 Other
بعد	 Other
ہیرو	 Other
کی	 Other
سابقہ	 Other
کارگردگی	 Other
کو	 Other
بھلادیا	 Other
جاتا	 Other
ہے	 Other
اور	 Other
یہی	 Other
کچھ	 Other
دھونی	 Person
کے	 Other
ساتھ	 Other
ہورہا	 Other
ہے	 Other
کیونکہ	 Other
ان	 Other
کو	 Other
جس	 Other
طرح	 Other
تنقید	 Other
کا	 Other
نشانہ	 Other
بنایا	 Other
جا	 Other
رہا	 Other
ہے	 Other
وہ	 Other
بہت	 Other
برا	 Other
ہے	 Other
جب	 Other
کہ	 Other
میڈیا	 Other
بھی	 Other
اس	 Other
معاملے	 Other
میں	 Other
ذمہ	 Other
داری	 Other
کا	 Other
ثبوت	 Other
نہیں	 Other
دے	 Other
رہا	 Other
بلکہ	 Other
واقعات	 Other
کی	 Other
غلط	 Other
تصویر	 Other
کشی	 Other
کر	 Other
رہا	 Other
ہے۔	 Other
 
شاہد آفریدی	 Person
نے	 Other
کہا	 Other
کہ	 Other
وہ	 Other
اس	 Other
بات	 Other
کے	 Other
مخالف	 Other
نہیں	 Other
کہ	 Other
کسی	 Other
بھی	 Other
کھلاڑی	 Other
کی	 Other
موجودہ	 Other
کارگردگی	 Other
کو	 Other
تنقید	 Other
کا	 Other
نشانہ	 Other
نہ	 Other
بنایا	 Other
جائے	 Other
لیکن	 Other
تنقید	 Other
کرتے	 Other
ہوئے	 Other
کھلاڑی	 Other
یا	 Other
ہیرو	 Other
کی	 Other
ماضی	 Other
کی	 Other
کارکردگی	 Other
سے	 Other
بھی	 Other
دنیا	 Other
کو	 Other
آگاہ	 Other
کیے	 Other
جانا	 Other
چاہئے۔	 Other
 
انہوں	 Other
نے	 Other
کہا	 Other
کہ	 Other
جب	 Other
آپ	 Other
دھونی	 Person
کی	 Other
بات	 Other
کرتے	 Other
ہیں	 Other
تو	 Other
کسی	 Other
بھی	 Other
نتیجے	 Other
پر	 Other
پہنچنے	 Other
سے	 Other
قبل	 Other
ان	 Other
کے	 Other
ریکارڈ	 Other
پر	 Other
ایک	 Other
نظر	 Other
ضرور	 Other
ڈال	 Other
لیں	 Other
وہ	 Other
بھارت	 Location
کے	 Other
ایک	 Other
حیرت	 Other
انگیز	 Other
پرفارمنس	 Other
دکھانے	 Other
والے	 Other
کھلاڑی	 Other
ہیں	 Other
اور	 Other
ان	 Other
کا	 Other
ریکارڈ	 Other
خود	 Other
بولتا	 Other
ہے	 Other
جب	 Other
کہ	 Other
دھونی	 Person
نے	 Other
بھارتی کرکٹ	 Person
ٹیم	 Other
کو	 Other
مستقبل	 Other
کی	 Other
بہترین	 Other
ٹیم	 Other
کے	 Other
طور	 Other
پر	 Other
تیار	 Other
کرلیا	 Other
ہے	 Other
جس	 Other
کی	 Other
بیٹنگ	 Other
میں	 Other
زبردست	 Other
صلاحیتوں	 Other
والے	 Other
بیٹسمین	 Other
ہیں۔	 Other
 
ایک	 Other
سوال	 Other
کے	 Other
جواب	 Other
میں	 Other
اسٹار	 Other
آل	 Other
راؤنڈر	 Other
کا	 Other
کہنا	 Other
تھا	 Other
کہ	 Other
پاکستان	 Location
کی	 Other
ڈومیسٹک	 Other
کرکٹ	 Other
میں	 Other
گزشتہ	 Other
کچھ	 Other
سالوں	 Other
سے	 Other
کافی	 Other
بہتری	 Other
آئی	 Other
ہے	 Other
Other
اس	 Other
لیے	 Other
نوجوانوں	 Other
کی	 Other
ایک	 Other
بڑی	 Other
کھیپ	 Other
مستقبل	 Other
کے	 Other
لیے	 Other
دستیاب	 Other
ہے	 Other
جو	 Other
آنے	 Other
والے	 Other
دنوں	 Other
میں	 Other
ٹیم	 Other
کا	 Other
سرمایہ	 Other
ثابت	 Other
ہوں	 Other
گے۔	 Other
 
﻿<LOCATION>بھارت</LOCATION>	 Other
نے	 Other
بنگال	 Location
کے	 Other
جادو	 Other
کا	 Other
اثر	 Other
ختم	 Other
کرہی	 Other
دیا	 Other
،	 Other
کلین	 Other
سویپ	 Other
کی	 Other
بنگلہ دیشی	 Location
امیدیں	 Other
حسرت	 Other
میں	 Other
بدل	 Other
گئیں،	 Other
مہمان	 Other
ٹیم	 Other
نے	 Other
تیسرا	 Other
ون	 Other
ڈے	 Other
77	 Number
رنز	 Other
سے	 Other
جیت	 Other
